"filename", "language", "Java", "XML", "Java Properties", "Markdown", "comment", "blank", "total"
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\discordbot\command\interfaces\SelectionMenu.class", "Java", 2, 0, 0, 0, 0, 0, 2
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\discordbot\command\interfaces\SlashCommand.class", "Java", 2, 0, 0, 0, 0, 0, 2
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\discordbot\command\interfaces\UserCommand.class", "Java", 2, 0, 0, 0, 0, 0, 2
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\discordbot\discordBot.class", "Java", 35, 0, 0, 0, 0, 0, 35
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\discordbot\discordarguments\AssetSelectionMenu.class", "Java", 15, 0, 0, 0, 0, 0, 15
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\discordbot\discordarguments\robloxgroupargument\InvalidGroupException.class", "Java", 6, 0, 0, 0, 0, 0, 6
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\discordbot\discordarguments\robloxgroupargument\robloxGroupArgument.class", "Java", 5, 0, 0, 0, 0, 0, 5
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\discordbot\discordarguments\robloxuserargument\InvalidUserArgument.class", "Java", 6, 0, 0, 0, 0, 0, 6
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\discordbot\discordarguments\robloxuserargument\robloxUserArgument.class", "Java", 41, 0, 0, 0, 0, 0, 41
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\builders\GroupBuilder.class", "Java", 5, 0, 0, 0, 0, 0, 5
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\builders\UserBuilder.class", "Java", 189, 0, 0, 0, 81, 0, 270
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\builders\UserGroupBuilder.class", "Java", 5, 0, 0, 0, 0, 0, 5
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\connection\http\HTTPConnection.class", "Java", 68, 0, 0, 0, 0, 0, 68
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\connection\json\AssetInfoBatch.class", "Java", 52, 0, 0, 0, 0, 0, 52
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\connection\json\AssetInformationJson.class", "Java", 71, 0, 0, 0, 0, 0, 71
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\connection\json\AvatarJson.class", "Java", 79, 0, 0, 0, 0, 0, 79
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\connection\json\ErrorJson.class", "Java", 24, 0, 0, 0, 0, 0, 24
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\connection\json\FavoriteItems.class", "Java", 79, 0, 0, 0, 0, 0, 79
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\connection\json\FollowerCount.class", "Java", 32, 0, 0, 0, 0, 0, 32
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\connection\json\FollowingCount.class", "Java", 32, 0, 0, 0, 0, 0, 32
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\connection\json\FriendCount.class", "Java", 32, 0, 0, 0, 0, 0, 32
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\connection\json\InventoryItemsJson.class", "Java", 87, 0, 0, 0, 0, 0, 87
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\connection\json\InventoryLocked.class", "Java", 42, 0, 0, 0, 0, 0, 42
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\connection\json\ThumbnailJson.class", "Java", 70, 0, 0, 0, 0, 0, 70
